2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :javax.swing.DefaultButtonModel| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :javax.swing.plaf.basic.BasicButtonListener| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.AWTEventMulticaster| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Component| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :javax.swing.JComponent| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Component| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Container| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Component| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Container| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Component| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.LightweightDispatcher| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.LightweightDispatcher| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.LightweightDispatcher| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Container| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Window| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Component| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue$3| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue$3| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.security.AccessController| Line Number :-2| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.security.ProtectionDomain$JavaSecurityAccessImpl| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.security.ProtectionDomain$JavaSecurityAccessImpl| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue$4| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue$4| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.security.AccessController| Line Number :-2| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.security.ProtectionDomain$JavaSecurityAccessImpl| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventDispatchThread| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventDispatchThread| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventDispatchThread| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventDispatchThread| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventDispatchThread| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventDispatchThread| Line Number :-1| n=4
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.lang.Thread| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :ibm.log2| Line Number :26| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :ibm.log3| Line Number :9| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :ibm.log3| Line Number :10| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :ibm.log3| Line Number :10| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :ibm.log3| Line Number :19| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :ibm.log2| Line Number :40| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :ibm.methodtrace| Line Number :66| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :javax.swing.AbstractButton| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :javax.swing.AbstractButton$Handler| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :javax.swing.DefaultButtonModel| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :javax.swing.DefaultButtonModel| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :javax.swing.plaf.basic.BasicButtonListener| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.AWTEventMulticaster| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Component| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :javax.swing.JComponent| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Component| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Container| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Component| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Container| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Component| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.LightweightDispatcher| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.LightweightDispatcher| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.LightweightDispatcher| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Container| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Window| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Component| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue$3| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue$3| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.security.AccessController| Line Number :-2| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.security.ProtectionDomain$JavaSecurityAccessImpl| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.security.ProtectionDomain$JavaSecurityAccessImpl| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue$4| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue$4| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.security.AccessController| Line Number :-2| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.security.ProtectionDomain$JavaSecurityAccessImpl| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventDispatchThread| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventDispatchThread| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventDispatchThread| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventDispatchThread| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventDispatchThread| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventDispatchThread| Line Number :-1| n=3
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.lang.Thread| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :ibm.log2| Line Number :26| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :ibm.log3| Line Number :9| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :ibm.log3| Line Number :10| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :ibm.log3| Line Number :10| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :ibm.log3| Line Number :10| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :ibm.log3| Line Number :19| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :ibm.log2| Line Number :40| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :ibm.methodtrace| Line Number :66| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :javax.swing.AbstractButton| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :javax.swing.AbstractButton$Handler| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :javax.swing.DefaultButtonModel| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :javax.swing.DefaultButtonModel| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :javax.swing.plaf.basic.BasicButtonListener| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.AWTEventMulticaster| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Component| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :javax.swing.JComponent| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Component| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Container| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Component| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Container| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Component| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.LightweightDispatcher| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.LightweightDispatcher| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.LightweightDispatcher| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Container| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Window| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Component| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue$3| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue$3| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.security.AccessController| Line Number :-2| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.security.ProtectionDomain$JavaSecurityAccessImpl| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.security.ProtectionDomain$JavaSecurityAccessImpl| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue$4| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue$4| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.security.AccessController| Line Number :-2| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.security.ProtectionDomain$JavaSecurityAccessImpl| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventDispatchThread| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventDispatchThread| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventDispatchThread| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventDispatchThread| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventDispatchThread| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventDispatchThread| Line Number :-1| n=2
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.lang.Thread| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :ibm.log2| Line Number :26| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :ibm.log3| Line Number :9| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :ibm.log3| Line Number :10| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :ibm.log3| Line Number :10| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :ibm.log3| Line Number :10| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :ibm.log3| Line Number :10| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :ibm.log3| Line Number :19| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :ibm.log2| Line Number :40| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :ibm.methodtrace| Line Number :66| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :javax.swing.AbstractButton| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :javax.swing.AbstractButton$Handler| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :javax.swing.DefaultButtonModel| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :javax.swing.DefaultButtonModel| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :javax.swing.plaf.basic.BasicButtonListener| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.AWTEventMulticaster| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Component| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :javax.swing.JComponent| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Component| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Container| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Component| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Container| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Component| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.LightweightDispatcher| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.LightweightDispatcher| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.LightweightDispatcher| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Container| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Window| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.Component| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue$3| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue$3| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.security.AccessController| Line Number :-2| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.security.ProtectionDomain$JavaSecurityAccessImpl| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.security.ProtectionDomain$JavaSecurityAccessImpl| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue$4| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue$4| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.security.AccessController| Line Number :-2| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.security.ProtectionDomain$JavaSecurityAccessImpl| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventQueue| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventDispatchThread| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventDispatchThread| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventDispatchThread| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventDispatchThread| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventDispatchThread| Line Number :-1| n=1
2018-10-280 15:44:12 | DEBUG | log2:31 | log2.java - Class Name :java.awt.EventDispatchThread| Line Number :-1| n=1
2018-10-280 15:44:12 | ERROR | log2:59 | log2.java - 
Final Execution Time Taken:--159ms
2018-10-280 15:45:06 | ERROR | log2:45 | log2.java - java.lang.NumberFormatException: For input string: "swfdgsrf"
2018-10-280 15:45:06 | ERROR | log2:46 | log2.java - 
Final Execution Time Taken:--0ms
2018-10-280 15:45:06 | ERROR | log2:59 | log2.java - 
Final Execution Time Taken:--4ms
2018-10-280 15:45:47 | DEBUG | main2:31 | main2.java - Class Name :java.lang.Thread| Line Number :-1| n=1
2018-10-280 15:45:47 | DEBUG | main2:31 | main2.java - Class Name :ibm.main2| Line Number :26| n=1
2018-10-280 15:45:47 | DEBUG | main2:31 | main2.java - Class Name :ibm.log4| Line Number :15| n=1
2018-10-280 15:45:47 | DEBUG | main2:31 | main2.java - Class Name :ibm.main2| Line Number :39| n=1
